사료,구분,사료종류,업체명,주소,데이터기준일자
보조,미생물제,유익균,(주)지에스엘바이오 제1공장,제주특별자치도 서귀포시 대정읍 일주서로3000번길 137-10,2025-02-28
보조,아미노산제,아미노산제,(주)원환경,제주특별자치도 서귀포시 대정읍 평화로 194,2025-02-28
보조,미생물제,미생물제,용바이오,제주특별자치도 제주시 애월읍 어음4길 45,2025-02-28
단미,동물성,단백질류,바이오랩 주식회사,제주특별자치도 제주시 애월읍 해암이길 215,2025-02-28
보조,미생물제,미생물제,농업회사법인 제주바이오팜 주식회사,제주특별자치도 서귀포시 대정읍 일주서로 2652,2025-02-28
배합,그 밖의 동물·어류용,수산동물,제주어류양식수산업협동조합 이용가공사업본부,제주특별자치도 제주시 한림읍 월각로 506-9,2025-02-28
보조,추출제+효소제,추출제+효소제,주식회사 새진비앤씨,제주특별자치도 제주시 산천단동길 16. 204호 (아라일동),2025-02-28
보조,미생물제,미생물제,(주)원환경,제주특별자치도 서귀포시 평화로 194,2025-02-28
보조,규산염제,규산염제,(주)원환경,제주특별자치도 서귀포시 평화로 194,2025-02-28
보조,미생물제,미생물제,주식회사 제동팜,제주특별자치도 제주시 청풍남8길 62-1 (화북이동),2025-02-28
단미,동물성,단백질류,제주어류양식수산업협동조합 어류자원순환센터,제주특별자치도 제주시 상대6길 151,2025-02-28
단미,동물성,단백질류,(주)한라산업,제주특별자치도 제주시 금능농공길 48-20,2025-02-28
단미,동물성,무기물류,(주)한라산업,제주특별자치도 제주시 금능농공길 48-20,2025-02-28
보조,미생물제,유익균+합제+유익효모,주식회사 제주제이엠에스,제주특별자치도 제주시 애월읍 소길남길 115,2025-02-28
단미,식물성,섬유질류,영농조합법인 그린제주,제주특별자치도 제주시 한림읍 광산로 729,2025-02-28
보조,추출제,세포벽추출물,주식회사 제주제이엠에스,제주특별자치도 제주시 애월읍 소길남길 115,2025-02-28
보조,향미제,합제,주식회사 제주제이엠에스,제주특별자치도 제주시 애월읍 소길남길 115,2025-02-28
보조,효소제,효소제,주식회사 제주제이엠에스,제주특별자치도 제주시 애월읍 소길남길 115,2025-02-28
단미,광물성,혼합광물질류,(주)누리향,제주특별자치도 제주시 구좌읍 상도로 225-29,2025-02-28
보조,추출제,추출제+미생물제-유익균,(주)크린바이오 제주지점,제주특별자치도 제주시 제주대학로 102. 2층 104호 (아라일동.제주테크노파크바이오융합센터2호관104호),2025-02-28
단미,동물성,단백질류,주식회사 글리칸코드(제2공장),제주특별자치도 제주시 제주대학로 102. 제주테크노파크바이오융합센터2호관 204호 (아라일동),2025-02-28
보조,향미제,감미료+합제,주식회사 글리칸코드,제주특별자치도 서귀포시 대정읍 하모중앙로 57-3,2025-02-28
보조,미생물제,유익균+합제,주식회사 글리칸코드,제주특별자치도 서귀포시 대정읍 하모중앙로 57-3,2025-02-28
보조,아미노산제,아미노산제,(주)창조바이오텍,제주특별자치도 서귀포시 남원읍 서성로 684-9,2025-02-28
보조,기타,기타,(주)창조바이오텍,제주특별자치도 서귀포시 남원읍 서성로 684-9,2025-02-28
보조,올리고당,올리고당,(주)창조바이오텍,제주특별자치도 서귀포시 남원읍 서성로 684-9,2025-02-28
보조,향미제,향미제,(주)창조바이오텍,제주특별자치도 서귀포시 남원읍 서성로 684-9,2025-02-28
보조,혼합제,혼합제,(주)창조바이오텍,제주특별자치도 서귀포시 남원읍 서성로 684-9,2025-02-28
보조,혼합제,혼합제,사단법인 일하는사람들,제주특별자치도 서귀포시 남원읍 서성로810번길 216-3,2025-02-28
보조,규산염제,규산염제,주식회사 인터퓨어,제주특별자치도 제주시 한림읍 일주서로 5855,2025-02-28
단미,식물성,조류,어업회사법인 주식회사 제이앤씨 바이오,제주특별자치도 제주시 한림읍 수원13길 66-1,2025-02-28
단미,식물성,박류,제주맥주주식회사,제주특별자치도 제주시 한림읍 금능농공길 62-11,2025-02-28
단미,식물성,서류,주식회사 글리칸코드(제2공장),제주특별자치도 제주시 제주대학로 102. 제주테크노파크바이오융합센터2호관 204호 (아라일동),2025-02-28
단미,혼합성,혼합제,주식회사 글리칸코드(제2공장),제주특별자치도 제주시 제주대학로 102. 제주테크노파크바이오융합센터2호관 204호 (아라일동),2025-02-28
단미,식물성,채소류,주식회사 글리칸코드(제2공장),제주특별자치도 제주시 제주대학로 102. 제주테크노파크바이오융합센터2호관 204호 (아라일동),2025-02-28
보조,비타민제,비타민제,주식회사 글리칸코드,제주특별자치도 서귀포시 대정읍 하모중앙로 57-3,2025-02-28
보조,효소제,효소제,주식회사 글리칸코드,제주특별자치도 서귀포시 대정읍 하모중앙로 57-3,2025-02-28
단미,식물성,식품가공부산물류,주식회사 일해,제주특별자치도 제주시 조천읍 함와로 321,2025-02-28
보조,미생물제,유익균,주식회사 글리칸코드(제2공장),제주특별자치도 제주시 제주대학로 102. 제주테크노파크바이오융합센터2호관 204호 (아라일동),2025-02-28
단미,동물성,단백질류,제주개과점,제주특별자치도 서귀포시 성산읍 성산등용로17번길 55. 88호(제주 성산 리치유 클래시아),2025-02-28
단미,혼합성,혼합제,제주개과점,제주특별자치도 서귀포시 성산읍 성산등용로17번길 55. 88호(제주 성산 리치유 클래시아),2025-02-28
단미,동물성,낙농가공부산물류,제주축산업협동조합 삼다한라우유공장,제주특별자치도 제주시 한림읍 한창로 1015,2025-02-28
단미,동물성,곤충류,제주벅스코리아,제주특별자치도 제주시 용문로 127 (용담이동),2025-02-28
단미,혼합성,혼합제,어업회사법인 블루오션(주),제주특별자치도 제주시 구좌읍 일주동로 2708-19. 204호,2025-02-28
단미,동물성,유지류,제주어류양식수산업협동조합 어류자원순환센터,제주특별자치도 제주시 한림읍 상대6길 151,2025-02-28
보조,비타민제,비타민제,주식회사 제주제이엠에스,제주특별자치도 제주시 애월읍 소길남길 115,2025-02-28
보조,향미제,착향료,(주)창조바이오텍,제주특별자치도 서귀포시 남원읍 서성로 684-9. 창조바이오택 1동,2025-02-28
보조,미생물제,합제,제주양돈축산업협동조합 청정배합사료공장,제주특별자치도 제주시 한림읍 금능농공길 111,2025-02-28
보조,미생물제,유익효모,제주맥주주식회사,제주특별자치도 제주시 한림읍 금능농공길 62-11,2025-02-28
보조,미생물제,유익균,제주축산농협 섬유질사료공장,제주특별자치도 제주시 한림읍 한창로 1015,2025-02-28
보조,추출제,동물 추출물,(주)창조바이오텍,제주특별자치도 서귀포시 남원읍 서성로 684-9. 창조바이오택,2025-02-28
보조,추출제,초목 추출물,(주)창조바이오텍,제주특별자치도 서귀포시 남원읍 서성로 684-9. 창조바이오택,2025-02-28
보조,보존제,항응고제,어업회사법인 주식회사 제이앤씨 바이오,제주특별자치도 제주시 한림읍 수원13길 66-1,2025-02-28
단미,동물성,단백질류,제주댕댕스푼,제주특별자치도 제주시 구좌읍 동복로 5,2025-02-28
단미,동물성,단백질류,제주어류양식수산업협동조합 이용가공사업본부,제주특별자치도 제주시 한림읍 월각로 506-9. 제주어류양식수협배합사료공장,2025-02-28
보조,비타민제,비타민제+ 비타민 합제,주은바이오(주)농업회사법인,제주특별자치도 제주시 한림읍 누운오름로 184. 101동,2025-02-28
단미,동물성,단백질류,잼,제주특별자치도 서귀포시 성산읍 난고로282번길 61,2025-02-28
단미,혼합성,혼합제,제주댕댕스푼,제주특별자치도 제주시 구좌읍 동복로 5,2025-02-28
보조,미생물제,유익균,(주)대해수,제주특별자치도 제주시 한경면 두모9길 2-32,2025-02-28
단미,식물성,박류,농업회사법인 (주)해림,제주특별자치도 제주시 조천읍 번영로 977-8,2025-02-28
단미,혼합성,혼합제,주식회사 제주펫,제주특별자치도 서귀포시 남원읍 한신로531번길 22-3,2025-02-28
단미,동물성,단백질류,슈퍼말이요,제주특별자치도 제주시 산천단남2길 77 (아라일동),2025-02-28
단미,혼합성,혼합제,펍타운,제주특별자치도 제주시 해안마을길 134 (해안동),2025-02-28
단미,동물성,단백질류,가치함께주식회사,제주특별자치도 제주시 산천단동3길 26. 6호 (아라일동),2025-02-28
단미,식물성,기타식물류,천지애협동조합,제주특별자치도 제주시 고산동산1길 9 (이도이동),2025-02-28
단미,혼합성,혼합제,펫마마스푸드,제주특별자치도 서귀포시 대정읍 상모대서로44번길 8,2025-02-28
단미,동물성,단백질류,펫마마스푸드,제주특별자치도 서귀포시 대정읍 상모대서로44번길 8,2025-02-28
단미,혼합성,혼합제,가치함께주식회사,제주특별자치도 제주시 산천단동3길 26. 6호 (아라일동),2025-02-28
보조,미생물제,유익균+유익효모,주은바이오(주)농업회사법인,제주특별자치도 제주시 한림읍 누운오름로 184. 101동,2025-02-28
단미,동물성,단백질류,제주에말하다 제이엔에스,제주특별자치도 제주시 정존15길 33. 3층 (노형동),2025-02-28
단미,동물성,단백질류,쿠킹독,제주특별자치도 제주시 연북로 41. 메르헨하우스 1층 (노형동),2025-02-28
단미,혼합성,혼합제,쿠킹독,제주특별자치도 제주시 연북로 41. 메르헨하우스 1층 (노형동),2025-02-28
보조,미생물제,유익균,(주)솔포투,제주특별자치도 제주시 제주대학로 102. 제주대학교바이오융합센터2호관 104호 (아라일동),2025-02-28
단미,식물성,박류,서룡산업식품,제주특별자치도 서귀포시 표선면 일주동로 5693-25. 서룡산업 1층,2025-02-28
단미,혼합성,혼합제,농업회사법인주식회사 트리즈바이오텍,제주특별자치도 제주시 산천단동길 16. 바이오융합센터 1동 206호 (아라일동),2025-02-28
단미,동물성,단백질류,몽몽까까,제주특별자치도 제주시 도남로 189 (아라일동),2025-02-28
단미,혼합성,혼합제,몽몽까까,제주특별자치도 제주시 도남로 189 (아라일동),2025-02-28
단미,식물성,박류,농업회사법인 새별오름 합자회사,제주특별자치도 제주시 한림읍 광산로 729,2025-02-28
보조,혼합제,혼합제,농업회사법인 수성천연물연구소 주식회사,제주특별자치도 제주시 애월읍 평화로 2715. 제주관광대학 별관동 604호호,2025-02-28
단미,혼합성,혼합제,어애랑,제주특별자치도 서귀포시 안덕면 한창로 102-1,2025-02-28
단미,식물성,섬유질류,농업회사법인 원바이오시스템 주식회사,제주특별자치도 제주시 명림로 274 (봉개동),2025-02-28
단미,동물성,단백질류,한라마테우리,제주특별자치도 제주시 일주동로 102 (화북일동),2025-02-28
단미,혼합성,혼합제,한라마테우리,제주특별자치도 제주시 일주동로 102 (화북일동),2025-02-28
단미,식물성,채소류,한라마테우리,제주특별자치도 제주시 일주동로 102 (화북일동),2025-02-28
단미,혼합성,혼합제,댕코롬,제주특별자치도 제주시 고산동산1길 11. 1층(이도이동),2025-02-28
단미,혼합성,혼합제,차롱네 멍밥상,제주특별자치도 서귀포시 성산읍 일주동로 5023,2025-02-28
단미,혼합성,혼합제,댕금님표 수제간식,제주특별자치도 제주시 서광로 151. 103호 (용담일동),2025-02-28
단미,동물성,단백질류,댕금님표 수제간식,제주특별자치도 제주시 서광로 151. 103호 (용담일동),2025-02-28
단미,혼합성,혼합제,댕댕'sweet,제주특별자치도 제주시 애월읍 하귀9길 2. 105호,2025-02-28
단미,혼합성,혼합제,몽냥몽냥,제주특별자치도 제주시 정원로 43-1. 1층 (노형동),2025-02-28
보조,혼합제,혼합제,(주)솔포투,제주특별자치도 제주시 제주대학로 102. 제주대학교바이오융합센터2호관 104호(아라일동),2025-02-28
단미,혼합성,혼합제,펫츠베이 제주아라점,제주특별자치도 제주시 아봉로 9(아라이동),2025-02-28
단미,동물성,단백질류,펫츠베이 제주아라점,제주특별자치도 제주시 아봉로 9(아라이동),2025-02-28
보조,아미노산제,아미노산제,농업회사법인 주식회사 인성산업,제주특별자치도 서귀포시 대정읍 일주서로3000번길 151,2025-02-28
단미,동물성,곤충류,농업회사법인 주식회사 인성산업,제주특별자치도 서귀포시 대정읍 일주서로3000번길 151,2025-02-28
보조,추출제,동물 추출물,(주)솔포투,제주특별자치도 제주시 산천단동길 16. 바이오융합센터2호관 104호(아라일동),2025-02-28
단미,동물성,단백질류,펫츠베이 제주노형점,제주특별자치도 제주시 월광로 34(노형동),2025-02-28
단미,혼합성,혼합제,펫츠베이 제주노형점,제주특별자치도 제주시 월광로 34(노형동),2025-02-28
보조,미생물제,유익균+합제,제주웰빙영농조합법인,제주특별자치도 제주시 한림읍 명월로 284,2025-02-28
단미,혼합성,혼합제,맛있댕,제주특별자치도 제주시 조천읍 신북로 215,2025-02-28
단미,동물성,단백질류,댕댕'sweet,제주특별자치도 제주시 애월읍 하귀9길 2. 105호,2025-02-28
단미,혼합성,혼합제,오래오랩,제주특별자치도 제주시 첨단로 213-3. JDC스마트빌딩 111호(영평동),2025-02-28
단미,동물성,단백질류,차롱네 멍밥상,제주특별자치도 서귀포시 성산읍 일주동로 5023. a동,2025-02-28
단미,혼합성,혼합제,달리포유,제주특별자치도 제주시 남성로 37. 2층 (용담일동),2025-02-28
보조,혼합제,혼합제,(주)밀림농업회사법인,제주특별자치도 제주시 애월읍 항몽로 234,2025-02-28
단미,동물성,동물성-단백질류,오래오랩,제주특별자치도 제주시 첨단로 213-3. JDC스마트빌딩 111호(영평동),2025-02-28
보조,아미노산제,아미노산제,(주)소일테크,제주특별자치도 제주시 조천읍 선교로 189,2025-02-28
단미,혼합성,혼합제,잔느카페,제주특별자치도 서귀포시 안덕면 사계로114번길 54-12. 라온제나 103호,2025-02-28
단미,식물성,조류,대봉엘에프영어조합법인,제주특별자치도 서귀포시 표선면 민속해안로 243,2025-02-28
배합,양축용,양축용 배합사료,농업회사법인 주식회사 탐농,제주특별자치도 서귀포시 표선면 성읍이리로57번길 74,2025-02-28
단미,혼합성,혼합제,김뽕똘,제주특별자치도 제주시 연동7길 19. 1층(연동),2025-02-28
배합,그 밖의 동물·어류용,애완용동물,오래오랩,제주특별자치도 제주시 첨단로 213-3. JDC스마트빌딩 111호(영평동),2025-02-28
보조,혼합제,혼합제,오래오랩,제주특별자치도 제주시 첨단로 213-3. JDC스마트빌딩 111호(영평동),2025-02-28
단미,동물성,단백질류,김뽕똘,제주특별자치도 제주시 연동7길 19. 1층(연동),2025-02-28
단미,혼합성,혼합제,(주)제이그린테크,제주특별자치도 제주시 한림읍 금능농공길 48-22,2025-02-28
단미,혼합성,혼합제,제리스토리,제주특별자치도 제주시 삼성로 106. 1층(일도이동),2025-02-28
단미,동물성,단백질류,제리스토리,제주특별자치도 제주시 삼성로 106. 1층(일도이동),2025-02-28
단미,동물성,단백질류,펫푸드 할매점빵,제주특별자치도 서귀포시 남원읍 하신로 302,2025-02-28
보조,아미노산제,아미노산제,고원주식회사,제주특별자치도 서귀포시 도순남로 97. E.M환경센타 (도순동),2025-02-28
배합,그 밖의 동물·어류용,애완용동물,(주)오래오랩,제주특별자치도 제주시 구좌읍 일주동로 2708-19. 105호,2025-02-28
단미,혼합성,혼합제,펫푸드 할매점빵,제주특별자치도 서귀포시 남원읍 하신로 302,2025-02-28
단미,동물성,동물성-단백질류,고마촌,제주특별자치도 서귀포시 성산읍 난산로 4. 고마촌농축산유통영농조합,2025-02-28
단미,혼합성,혼합제,고마촌,제주특별자치도 서귀포시 성산읍 난산로 4. 고마촌농축산유통영농조합,2025-02-28
단미,혼합성,혼합제,한방애개건강,제주특별자치도 서귀포시 서호중앙로 55. 유포리아 B동 501호 (서호동),2025-02-28
단미,동물성,단백질류,(주)제이그린테크,제주특별자치도 제주시 한림읍 금능농공길 48-22,2025-02-28
보조,미생물제,유익균,(주)피쉬케어,제주특별자치도 서귀포시 표선면 토산중앙로 372,2025-02-28
단미,식물성,섬유질류,농업회사법인 주식회사 바이오제주,제주특별자치도 서귀포시 토평공단로115번길 28 (토평동),2025-02-28
단미,혼합성,혼합제,농업회사법인 차롱멍밥(주),제주특별자치도 서귀포시 성산읍 성산등용로17번길 55. 1층 31호 (제주 성산 리치유 클래시아),2025-02-28
단미,동물성,단백질류,농업회사법인 차롱멍밥(주),제주특별자치도 서귀포시 성산읍 성산등용로17번길 55. 1층 31호 (제주 성산 리치유 클래시아),2025-02-28
단미,혼합성,혼합제,개인의 취향,제주특별자치도 제주시 구좌읍 구좌로 43,2025-02-28
단미,식물성,섬유질류,농업회사법인(주)제주향,제주특별자치도 서귀포시 토평공단로107번길 42 (토평동),2025-02-28
보조,추출제,기타,주식회사 제이디케이바이오(JDK),제주특별자치도 제주시 연삼로 723 (화북이동),2025-02-28
단미,혼합성,혼합제,반려반상,제주특별자치도 제주시 노형10길 21. 104호 (노형동),2025-02-28
단미,동물성,단백질류,반려반상,제주특별자치도 제주시 노형10길 21. 104호 (노형동),2025-02-28
단미,혼합성,혼합제,제주스러움,제주특별자치도 제주시 애월읍 하귀로23길 9. 지하 1층,2025-02-28
단미,동물성,단백질류,제주스러움,제주특별자치도 제주시 애월읍 하귀로23길 9. 지하 1층,2025-02-28
단미,동물성,단백질류,(주)오래오랩,제주특별자치도 제주시 구좌읍 일주동로 2708-19. 105호,2025-02-28
단미,식물성,조류,주식회사 제이디케이바이오(JDK),제주특별자치도 제주시 연삼로 723 (화북이동),2025-02-28
단미,동물성,단백질류,한림수산업협동조합,제주특별자치도 제주시 한림읍 한림해안로 141-3,2025-02-28
단미,식물성,섬유질류,탐모라바이오 농업회사법인(주),제주특별자치도 제주시 오광로 36 (이호이동),2025-02-28
단미,동물성,단백질류,미다스펫,제주특별자치도 제주시 봉개대동6길 13-1. 1층 (봉개동),2025-02-28
단미,혼합성,혼합제,미다스펫,제주특별자치도 제주시 봉개대동6길 13-1. 1층 (봉개동),2025-02-28
단미,혼합성,혼합제,오멍가멍(OMGM),제주특별자치도 제주시 인다4길 19. 라움 101호 (아라일동),2025-02-28
단미,동물성,단백질류,개인의 취향,제주특별자치도 제주시 구좌읍 구좌로 43,2025-02-28
단미,동물성,단백질류,베지밀박스,제주특별자치도 제주시 조천읍 조함해안로 9. 1층,2025-02-28
단미,혼합성,혼합제,베지밀박스,제주특별자치도 제주시 조천읍 조함해안로 9. 1층,2025-02-28
보조,혼합제,혼합제,에코마린코리아,제주특별자치도 제주시 동광로 150 (일도이동),2025-02-28
단미,동물성,단백질류,푸른농수산,제주특별자치도 제주시 지석13길 13. 1층 (삼양이동),2025-02-28
단미,동물성,곤충류,농업회사법인(주)BSF금악,제주특별자치도 제주시 한림읍 월각로 506-40,2025-02-28
단미,동물성,유지류,농업회사법인(주)BSF금악,제주특별자치도 제주시 한림읍 월각로 506-40,2025-02-28
단미,혼합성,혼합제,스코비아일랜드,제주특별자치도 제주시 애월읍 평화로 2715. 218호,2025-02-28
단미,혼합성,혼합제,글래드호텔앤리조트(주)메종글래드 제주,제주특별자치도 제주시 노연로 80. 메종글래드제주 (연동),2025-02-28
단미,식물성,채소류,앳제주,제주특별자치도 서귀포시 안덕면 사계남로 183. 지하 1층,2025-02-28
단미,혼합성,혼합제,주식회사 장인의 집,제주특별자치도 제주시 애월읍 봉성북1길 2,2025-02-28
단미,혼합성,혼합제,제주멍냥밥상,제주특별자치도 서귀포시 중앙로54번길 35. 올레정보교류관 1층 1호 (서귀동),2025-02-28
단미,혼합성,혼합제,라떼케이크,제주특별자치도 제주시 구남로7길 36. 상가동 103호 (이도이동. 주공1아파트),2025-02-28
단미,혼합성,혼합제,주식회사 이이공공,제주특별자치도 서귀포시 색달로72번길22,2025-02-28
단미,혼합성,혼합제,카페몽몽,제주특별자치도 제주시 월광로 145-8.2층,2025-02-28
