堡辆,扁埃,抗螟啊拜(崔矾_懦肺弊伐),荐鞭救沥拳瘤荐,矫厘困氰瘤荐
府片,2019-09-18,35.187687,70.692046,4.538014
府片,2027-10-01,130.782413,1.503179,6.437977
府片,2012-04-28,107.941879,1.503179,1.620097
府片,2027-10-01,35.187206,32.698082,33.101186
府片,2023-12-28,49.035158,1.503179,50.011779
府片,2027-10-01,34.146185,4.224681,79.980121
府片,2024-03-08,33.488248,70.421596,5.053292
府片,2020-11-04,35.187488,8.330881,76.520019
府片,2019-01-17,95.400309,2.001488,9.396825
府片,2024-09-01,35.341107,1.88016,75.425265
府片,2027-10-01,35.185881,1.506877,1.620097
府片,2008-01-01,35.188055,1.503179,1.620097
府片,2020-07-15,35.188582,1.506537,1.620097
府片,2017-08-03,35.186316,37.732993,6.244324
府片,2027-09-26,35.191632,1.503179,14.255881
府片,2022-05-26,35.190561,1.503179,1.620097
府片,2015-12-15,57.651392,1.503971,48.156586
府片,2016-12-26,223.043642,1.503179,68.101842
府片,2025-12-21,30.43608,1.503179,52.214056
府片,2025-05-16,35.189914,1.504614,12.201512
府片,2020-12-28,35.829566,70.944624,12.102179
府片,2026-03-22,35.191609,1.504309,67.537529
府片,2019-02-02,192.277916,69.594776,1.620097
府片,2014-05-23,35.185056,48.431184,43.845678
府片,2008-01-01,35.18504,1.503179,14.963186
府片,2023-06-30,35.18725,1.503179,73.073203
府片,2027-10-01,35.190232,6.030112,79.824286
府片,2018-03-18,35.191273,66.661206,9.116827
府片,2022-09-25,127.880793,76.248627,76.222284
府片,2022-02-09,35.188912,1.503179,69.506674
府片,2021-11-04,247.682101,1.503179,8.185662
府片,2025-07-18,97.521278,1.503179,76.196666
府片,2016-09-16,127.864944,8.320257,75.208796
府片,2020-09-30,34.477258,1.503179,1.620097
府片,2019-06-13,35.186819,50.036616,4.673921
府片,2027-10-01,58.812882,1.503179,1.620097
府片,2027-10-01,35.186297,6.048161,50.080342
府片,2025-10-31,35.192722,1.503179,75.464899
府片,2019-06-10,35.188172,1.503179,73.997822
府片,2014-07-04,35.188108,1.503179,32.403134
府片,2020-11-20,35.189431,1.503179,14.862803
府片,2008-01-17,35.188071,4.264849,50.308782
府片,2013-04-13,154.686406,75.257884,73.670039
府片,2027-10-01,35.190945,1.503179,58.253382
府片,2018-01-13,102.696888,1.503179,71.759965
府片,2016-01-24,36.754881,1.503179,53.039492
府片,2024-03-11,35.190205,35.357739,74.323047
府片,2024-09-25,35.189981,37.533617,52.581639
府片,2016-10-19,35.192371,1.503179,12.390808
府片,2019-06-05,37.921773,1.506202,12.248788
府片,2022-09-16,67.323399,1.503179,71.791148
府片,2027-10-01,136.001897,1.503179,65.347857
府片,2009-03-16,35.187125,1.506864,1.620097
府片,2026-10-28,35.19145,1.503695,81.849215
府片,2009-05-12,118.747425,60.125602,47.533349
府片,2026-07-26,107.674097,62.070708,12.400235
府片,2018-04-19,35.191471,1.503179,1.620097
府片,2025-09-22,40.080566,1.503179,81.849215
府片,2023-12-11,35.186992,1.505712,76.372508
府片,2015-06-05,35.186704,1.503179,1.620097
府片,2027-10-01,35.18521,1.503179,1.620097
府片,2021-07-12,51.618433,66.61141,7.753232
府片,2019-11-27,35.192474,45.203861,64.243882
府片,2022-11-30,68.890643,1.503616,46.829262
府片,2017-11-14,35.188029,71.448322,1.620097
府片,2018-09-03,35.189925,1.504281,1.620097
府片,2016-05-23,35.187316,76.040677,81.849215
府片,2015-03-12,35.185148,1.503179,76.298468
府片,2014-04-17,35.10439,1.505954,13.995643
府片,2013-07-11,35.189095,13.887984,1.620097
府片,2008-01-01,35.189415,1.928993,68.10877
府片,2021-07-06,117.345554,1.503179,11.894501
府片,2023-03-29,35.190452,68.158483,68.211132
府片,2027-10-01,35.191522,1.503179,27.580178
府片,2023-02-07,35.185297,1.503179,73.111641
府片,2027-09-14,35.189889,1.503367,65.506559
府片,2023-11-17,30.598902,1.503179,15.061986
府片,2024-01-12,35.189695,70.667254,73.662046
府片,2011-07-22,35.213836,40.31374,1.620097
府片,2022-12-06,177.931259,1.506853,1.620097
府片,2022-06-15,50.246717,41.736113,1.620097
府片,2022-02-16,35.186773,4.430078,1.620097
府片,2019-09-16,35.188904,69.942646,1.620097
府片,2027-10-01,35.186406,4.573409,1.620097
府片,2021-05-18,116.294107,61.862045,13.822248
府片,2016-10-07,35.188584,61.724269,10.639191
府片,2015-05-16,35.190912,1.505762,1.620097
府片,2019-11-09,35.188923,1.503179,1.620097
府片,2019-04-09,35.189395,1.503179,73.361757
府片,2016-07-08,507.623088,1.503179,12.64891
府片,2026-07-17,35.1862,1.503179,52.818506
府片,2011-08-21,35.191225,1.503179,71.704105
府片,2013-12-05,35.187291,70.961621,81.849215
府片,2024-03-24,150.905678,48.581034,24.639549
府片,2008-12-30,35.185961,18.914231,43.723193
府片,2022-09-03,132.303721,1.503179,60.015378
府片,2012-06-27,40.522077,8.407033,10.602518
府片,2018-02-25,34.751604,4.227772,65.630615
府片,2024-08-19,89.59939,11.259538,81.849215
府片,2027-10-01,35.187898,40.577981,1.620097
府片,2013-05-14,35.191652,2.176062,50.455849
府片,2012-12-22,35.186189,1.503179,1.620097
府片,2026-12-02,36.332851,1.503179,1.620097
府片,2010-10-15,194.667784,63.870488,8.935787
府片,2020-12-04,35.185892,1.503179,28.184079
府片,2010-12-13,35.187818,1.503179,9.320446
府片,2024-08-31,36.779833,71.396615,1.620097
府片,2023-05-23,111.314122,11.043286,1.620097
府片,2024-06-14,96.636908,1.505574,28.802205
府片,2015-01-02,35.18943,1.503179,10.74707
府片,2022-04-01,35.188938,1.503179,1.620097
府片,2021-05-18,119.935773,40.549427,81.849215
府片,2019-11-05,57.671646,1.506584,1.620097
府片,2009-03-14,33.069259,1.504193,1.620097
府片,2018-02-28,120.294124,1.503179,1.620097
府片,2014-12-27,479.302515,1.684881,10.355448
府片,2010-09-06,35.188863,1.503511,1.620097
府片,2022-11-17,72.599246,1.504059,65.470966
府片,2021-09-03,43.869935,1.505258,63.986493
府片,2027-05-12,35.188707,2.889559,1.620097
府片,2022-11-09,35.189968,2.82168,10.401054
府片,2008-01-01,39.907835,75.755157,71.741419
府片,2008-01-01,35.191897,70.459056,44.087611
府片,2017-06-19,30.009878,1.506335,65.346146
府片,2027-10-01,76.044576,1.503179,7.551589
府片,2024-08-19,33.248117,1.506849,1.620097
府片,2014-06-05,35.187465,68.665687,76.197025
府片,2016-11-03,35.18874,66.786217,12.396994
府片,2013-05-13,41.970348,1.503179,9.08573
府片,2023-06-13,38.940836,66.60643,81.849215
府片,2020-05-03,35.18556,31.723072,15.638876
府片,2009-03-05,35.191299,1.503179,71.590523
府片,2016-11-23,94.163965,1.503179,8.132486
府片,2018-09-20,35.191154,1.503179,52.205454
府片,2016-02-07,35.189959,27.193157,1.620097
府片,2015-08-01,111.260275,1.503179,21.265736
府片,2011-08-15,35.186549,1.503179,1.620097
府片,2021-09-28,108.209965,1.503179,1.620097
府片,2024-02-18,96.224752,1.503179,1.620097
府片,2023-02-20,95.812529,8.977046,12.019181
府片,2020-11-05,107.51365,62.784808,1.620097
府片,2021-07-24,159.67175,1.503179,41.271929
府片,2020-02-09,59.860317,48.909791,1.620097
府片,2027-10-01,77.447907,1.503179,1.620097
府片,2015-01-09,35.188363,62.0043,71.873923
府片,2024-06-02,35.190892,74.453907,73.273192
府片,2024-03-02,127.887489,49.434105,5.877513
府片,2025-11-19,119.398646,66.641283,1.620097
府片,2017-05-14,35.187756,1.503179,32.285367
府片,2025-06-08,35.191235,48.408419,1.620097
府片,2019-04-20,247.903193,66.671167,3.448297
府片,2008-10-01,35.189251,3.500305,73.621811
府片,2016-08-31,35.834356,1.503307,71.728843
府片,2020-12-31,35.19196,68.349565,54.147146
府片,2021-08-30,35.192532,63.163381,11.70298
府片,2011-01-17,34.522973,70.163519,1.620097
府片,2016-12-12,82.639459,15.592005,6.657614
府片,2021-05-02,38.935408,1.506116,62.331517
府片,2018-08-19,35.188677,4.22731,73.145357
府片,2027-10-01,35.187317,48.410455,51.818066
府片,2018-07-29,35.189228,68.581617,69.481339
府片,2021-10-18,35.186484,1.503179,1.620097
府片,2008-01-01,35.191079,1.503179,10.821616
府片,2015-06-01,358.22178,1.503849,57.372371
府片,2022-08-16,38.495973,29.967188,71.900859
府片,2008-01-01,35.18695,7.526925,1.620097
府片,2022-05-21,113.446024,1.503179,1.620097
府片,2026-06-12,98.319674,76.248627,79.912006
府片,2022-01-24,35.186226,1.505833,1.620097
府片,2021-11-12,35.186972,1.503179,50.80626
府片,2013-10-11,35.186877,48.002182,1.620097
府片,2019-05-21,89.799556,4.763869,12.022292
府片,2016-05-18,35.190319,1.503179,1.620097
府片,2018-04-15,248.116233,41.899196,1.620097
府片,2023-04-28,111.099082,1.503179,5.524877
府片,2010-04-28,118.713734,1.503179,5.192041
府片,2027-10-01,35.188759,1.505036,44.841994
府片,2025-07-03,30.009878,73.020651,80.005437
府片,2018-03-18,35.185656,31.77426,9.377722
府片,2020-05-31,507.623088,1.503179,1.620097
府片,2016-01-09,35.887358,1.504066,1.620097
府片,2011-07-01,67.25138,48.080349,10.712568
府片,2020-03-22,99.385182,1.503179,66.88542
府片,2015-10-04,35.185715,8.582489,50.595287
府片,2022-05-25,49.539979,1.503179,1.620097
府片,2015-07-13,35.192093,31.851184,43.937413
府片,2015-02-22,63.002207,61.632622,1.620097
府片,2024-07-25,159.255679,1.503179,69.100753
府片,2027-10-01,35.192423,1.503179,54.055865
府片,2015-12-23,35.189341,1.503179,1.620097
府片,2026-07-03,35.190908,64.221799,1.620097
府片,2023-08-13,81.725722,31.928025,12.512517
府片,2012-04-25,35.191906,1.503179,11.795067
府片,2021-07-27,35.188682,40.891666,66.64189
府片,2022-06-11,35.187944,1.503343,1.620097
府片,2015-06-18,35.189212,1.503179,71.652598
府片,2027-10-01,92.720547,1.50329,31.708936
府片,2008-08-12,87.502765,20.969523,12.272451
府片,2019-08-11,35.188839,66.762606,30.434458
府片,2023-05-04,40.511979,67.562914,11.950401
府片,2027-10-01,67.627873,62.717264,66.431155
府片,2018-06-16,35.189377,1.505712,1.620097
府片,2011-08-20,35.191353,33.726001,1.620097
府片,2025-03-25,35.190019,67.163711,1.620097
府片,2026-06-21,35.191383,1.504425,1.620097
府片,2024-09-28,50.650547,8.779742,1.620097
府片,2027-10-01,35.188346,46.113589,12.006743
府片,2024-07-19,35.189987,69.720939,1.620097
府片,2010-03-15,35.185641,68.202073,1.620097
府片,2018-12-21,35.191395,1.503179,75.514049
府片,2012-05-06,36.788174,1.506002,1.620097
府片,2023-06-04,35.19185,9.503005,68.360155
府片,2015-04-19,35.188559,74.391445,77.76519
府片,2014-07-04,247.827365,1.503742,4.32844
府片,2025-02-25,30.009878,44.676821,1.620097
府片,2025-08-07,35.188117,1.503179,5.512464
府片,2018-01-16,88.998861,1.503179,1.620097
府片,2021-04-08,35.18659,70.688948,76.20401
府片,2021-08-22,227.745321,1.505272,42.052815
府片,2020-07-27,30.009878,69.75253,5.55005
府片,2021-10-14,444.925048,61.678418,38.046624
府片,2024-01-11,127.876978,72.23165,74.604728
府片,2008-01-01,35.190553,1.503179,69.379847
府片,2008-01-01,76.599533,65.627049,1.620097
府片,2023-06-25,35.192456,4.605173,81.849215
府片,2024-05-03,35.160819,1.503179,66.939148
府片,2010-02-05,57.51923,1.503179,1.620097
府片,2022-05-20,35.190947,1.503179,4.639861
府片,2027-10-01,35.189715,71.643951,44.564049
府片,2018-09-01,77.569036,4.415066,1.620097
府片,2027-10-01,35.190782,73.804566,1.620097
府片,2027-10-01,65.096887,1.504501,40.80345
府片,2019-08-14,38.839926,75.920775,73.597757
府片,2022-08-26,35.185809,1.503179,76.195715
府片,2013-01-17,33.307645,1.503179,1.620097
府片,2023-04-04,35.185763,47.845733,65.347506
府片,2023-03-24,153.856921,2.134975,73.518928
府片,2027-02-04,40.441217,75.97216,6.87418
府片,2022-06-05,35.192078,29.225273,1.620097
府片,2018-07-17,35.185723,1.503179,44.876933
府片,2018-01-30,35.186406,68.305153,33.669193
府片,2025-08-04,35.192356,16.42251,81.849215
府片,2020-11-16,35.189217,1.503179,73.13692
府片,2017-11-06,30.009878,8.389403,76.225869
府片,2018-04-02,35.191884,59.382365,8.386745
府片,2008-01-01,35.190836,61.921012,12.46441
府片,2016-04-10,35.338726,46.621081,4.391278
府片,2027-10-01,39.011087,1.503179,29.920368
府片,2021-02-27,455.205202,49.343457,35.119931
府片,2025-06-30,35.186491,1.505316,43.707385
府片,2016-10-31,35.191033,1.50693,74.034156
府片,2027-10-01,35.189232,1.504277,49.31138
府片,2017-12-03,248.04558,1.504203,7.466756
府片,2023-04-13,41.336226,1.503179,71.857726
府片,2027-10-01,35.190197,63.151642,50.240241
府片,2010-10-25,35.192218,38.746846,75.260275
府片,2016-06-13,35.190964,1.505711,1.620097
府片,2019-06-25,450.067518,1.503179,32.722439
府片,2027-10-01,35.191092,1.503179,53.723531
府片,2014-05-19,118.600243,1.505565,58.547093
府片,2026-02-14,83.060202,1.503179,65.308454
府片,2013-10-29,35.190386,7.838694,52.196915
府片,2021-07-14,35.188087,1.503179,81.849215
府片,2025-08-09,35.18813,1.503179,76.317287
府片,2020-05-27,35.188269,1.506143,29.005526
府片,2011-03-26,35.190074,1.503179,22.407856
府片,2023-08-13,35.378126,1.503179,12.808881
府片,2008-01-01,35.190221,6.084254,72.197493
府片,2018-01-19,37.532752,1.503179,12.109669
府片,2023-04-12,116.819795,1.503179,1.620097
府片,2015-04-09,35.188384,68.968644,72.970189
府片,2027-10-01,32.274874,69.912378,1.620097
府片,2025-05-23,37.35819,1.503179,12.034749
府片,2016-11-05,48.812295,67.953538,7.579927
府片,2027-10-01,35.190536,1.503179,5.486998
府片,2023-05-04,35.189783,46.599917,1.620097
府片,2008-07-24,35.362668,32.255525,52.267684
府片,2025-09-29,35.19248,5.412913,9.080198
府片,2026-09-14,43.232955,10.250509,75.294492
府片,2025-01-02,72.092764,75.677797,73.550291
府片,2016-07-14,35.191623,16.976221,12.536598
府片,2027-05-29,32.103833,30.714271,35.226713
府片,2020-08-13,46.866906,1.503179,1.620097
府片,2012-05-31,35.19127,71.553534,1.620097
府片,2024-11-21,35.185629,21.640704,1.620097
府片,2021-04-03,40.383476,11.562808,1.620097
府片,2017-09-04,130.306563,56.324901,76.446236
府片,2024-10-24,127.88259,42.682589,1.620097
府片,2019-06-17,35.187264,1.503179,11.941094
府片,2021-10-29,35.186839,70.701341,73.815591
府片,2025-08-29,35.189803,75.487717,1.620097
府片,2024-01-30,35.188217,76.248627,1.620097
府片,2027-10-01,107.888419,1.503179,1.620097
府片,2015-06-21,92.559669,1.503179,71.675899
府片,2026-10-21,35.186072,74.151454,77.065381
府片,2016-07-08,35.188592,1.503179,68.047419
府片,2017-08-26,35.189848,62.683508,52.155307
