분류,제목,등록일
일일동향,한-세네갈 250 메가와트급 석탄화력발전소 건설 기본협정 서명,2012-09-03
일일동향,"일본, 관내 모든 원전 가동 중단",2012-09-04
일일동향,"AVL사, Andritzt사와 신재생에너지 분야 협력",2012-09-04
일일동향,한-하와이주 신재생에너지 협력,2012-09-04
일일동향,"오만, 태양에너지 연구센터 설립 계획 발표",2012-09-04
일일동향,한-영국 해상풍력단지 개발 분야 협력,2012-09-04
일일동향,"오만, 이란산 원유 공급 감소시, 산유국들 동 부족분 충족 가능",2012-09-04
일일동향,"일본 동경전력, 후쿠시마 원전2호기 온도계 비정상적 가동 논란",2012-09-07
일일동향,LA 친환경기술 개발단지 한국기업 참여 요청,2012-09-07
일일동향,가나 Pumpuni 가스터미널 건설 공사 4월경 착수,2012-09-07
일일동향,한-블라디보스톡 가스화 사업 등 도시 인프라 건설 협력,2012-09-07
일일동향,연해주 석유화학단지 건설 프로젝트 관련 동향(한국기업 참여 요청),2012-09-07
일일동향,"콜롬비아 광물에너지자원부, 광물개발권 양허 관련 제도 개혁을 추진중",2012-09-07
일일동향,"세계풍력에너지협회, 소형 풍력발전기의 글로벌 시장현황 및 전망에 대한 보고서 발표",2012-09-07
일일동향,한-브라질 광물 분야 협력(희토류),2012-09-10
일일동향,트리니다드토바고 석유화학제품 공장건설 입찰 동향,2012-09-07
일일동향,볼리비아 리튬배터리 사업 등 논의차 방한,2012-09-07
일일동향,QP사 및 Qapco사 라스라판산업도시 석유화학플랜트 건설 합의,2012-09-07
일일동향,"인도, ""32년까지 원전설비용량 63GW까지 확대",2012-09-07
일일동향,앙골라 Kwanza 지역 대형 유정 발견,2012-09-07
일일동향,"일본, ""재생가능에너지 특별조치법"" 시행 예정",2012-09-07
일일동향,한-스페인 원자력 협력(사용후 연료의 중간저장 시설 건설 등),2012-09-07
일일동향,"이란, 인도에 유리한 조건으로 이란산 원유 수출 제안",2012-09-07
일일동향,카자흐스탄 카라차가낙 가스처리 플랜트 건설 입찰 동향,2012-09-07
일일동향,한-몽골 광산개발 협력,2012-09-07
일일동향,"남수단 대표단, 2000km 길이 원유 송규관 건설 협의차 케냐 방문",2012-09-07
일일동향,"카트르, 석유화학제품 생산량 ""20년까지 2,300만톤으로 증산",2012-09-07
일일동향,중국 섬서성 석탄생산량 4억톤 돌파,2012-09-07
일일동향,IEA 석유시장 보고서 발표(2012.2),2012-09-07
일일동향,"주시안총영사관, ""중국 태양광 산업 발전 추세"" 보고서 발표",2012-09-07
일일동향,"IAEA 대표단, 중국 홍옌허 원자력발전소 안전 승인",2012-09-07
일일동향,"엘살바도르 국가에너지위원회, 신재생에너지 개발 마스터플랜 연구 결과 발표 예정",2012-09-07
일일동향,"브루나이, ""현지비즈니스 개바 방침"" 발표",2012-09-07
일일동향,"일본 가정용 소형풍차(5kw, 3kw) 개발 및 홍부",2012-09-07
일일동향,한-알제리 에너지 석유화학 플랜트 분야 협력 방안 논의,2012-09-07
일일동향,우즈베키스탄 타쉬켄트 태양광에너지연구소 설립,2012-09-07
일일동향,"미국, TransCanada사의 원유수송파이프라인 건설 프로젝트 추진 승인 불허",2012-09-07
일일동향,"독일풍력연구소(DEWI), 2011년도 독일 전체 풍력에너지 현황 통계치 발표",2012-09-07
일일동향,"이란-남아공, 향후 서방의 對이란 석유제재를 우회하는 방안에 대해 협의",2012-09-07
일일동향,"이란 의회 에너지위원회, 보조금 개혁의 일환으로 휘발유 인상안을 검토중",2012-09-07
일일동향,"가스처리시설 입지로 아투아보(Atuabo) 지역이 거론되고 있는 것과 관련, 지역 주민들 반대 성명 발표",2012-09-07
일일동향,한-러시아 원유판매 및 인프라 건설 협력(동시베리아 TYND사 면담),2012-09-07
일일동향,"PGE사, 폴란드 원전건설 프로젝트 발주사 추가 선정 검토중",2012-09-07
일일동향,한-모로코 태양에너지 분야 협력 논의,2012-09-07
일일동향,"이집트 동부 사막지역 ""11년부터 채굴작업 재개",2012-09-07
일일동향,"주콜롬비아대사관, 2011년도 콜롬비아 전력시장 보고서 발표",2012-09-07
일일동향,"한국석유공사-GS에너지-아부다비석유공사간 아부다비 3개광구 계약 서명식 개최(3.5(월), UAE)",2012-09-07
일일동향,"이집트 시나이 반도 북부 알 아리쉬 지역 가스관, 3.5(월) 무장괴한들에 의해 폭파",2012-09-07
일일동향,"중국물류구매협회, 2월 철강산업 구매관리지수가 1월 대비 하락했다고 발표",2012-09-07
일일동향,"루마니아, 풍력발전 시장에서 가장 호감있는 10대 국가로 진입",2012-09-07
일일동향,한-폴란드 환경분야 협력,2012-09-07
일일동향,볼리비아의 Urupabol 프로젝트에 한국기업 참여 요청,2012-09-07
일일동향,"벨기에, 네덜란드 이란 원유 수입중단 발표 관련 동향",2012-09-07
일일동향,한-러시아 광물자원 분야 협력,2012-09-07
일일동향,"스웨덴, 제4세대 원자로 기반 연구 진행중, 실험용 원자로 건설 제안",2012-09-07
일일동향,"2009년말, 페루는 37개의 전력회사(총 246 발전소)를 보유",2012-09-07
일일동향,"모로코, 발전소 건설 사업에 한국기업들의 참여 당부",2012-09-07
일일동향,"카메룬 전력개발공사(EDC), 전력 송배전망 설치와 관련하여 국제입찰 공고",2012-09-07
일일동향,"가즈포럼 체레파노프 국장은 차얀다 지역에서 석유는 2014년, 가스는 2016년부터 생산할 계획이라고 설명",2012-09-07
일일동향,한-오스트리아 신재생에너지 협력(여수엑스포 참석),2012-09-07
일일동향,"브루나이 에너지부, ""현지 사업 개발 강화 방침 2호"" 2.1(수)부터 발효",2012-09-07
일일동향,"UNG사, Southern Tanjircha 가스전 개발에 7,500만불 투자",2012-09-07
일일동향,한-노르웨이 석유가스 분야 협력,2012-09-07
일일동향,"밀라노 Nova시 소재 도네가니연구소, 태양광 분야 한국기업 참여 요청",2012-09-07
일일동향,"체코 우라늄 생산, 전세계 9위",2012-09-07
일일동향,"이스라엘 국가안보연구소(INSS), ""Strategic Review"" 2월 보고서 발표",2012-09-07
일일동향,"그리스, 3.1(목) 이란 언론의 對그리스 원유선적 중단 관련 보도 공식 부인",2012-09-07
일일동향,"중국, 미국과 캐나다의 석유·가스 분야에 170억불 이상 투자",2012-09-07
일일동향,"카메룬 정부, 전력법 개정안 발표",2012-09-10
일일동향,"인도네시아 정부, 에너지 보조금 인상 결정",2012-09-10
일일동향,"에티오피아, 수단까지 연결하는 송전망 건설 프로젝트 완료 발표",2012-09-10
일일동향,Baker Huge사 개발 석유 및 천연가스 시추장비 개수 10주 연속 하락,2012-09-10
일일동향,UAE 후자이라 가스터미널 건설 계획,2012-09-10
일일동향,미얀마 외국인투자법안 입법화 동향,2012-09-10
일일동향,"파라과이 정부, 브라질-파라과이간 파이프라인 건설 사업 허가",2012-09-10
일일동향,우즈베키스탄 120~600m 광맥 우라늄(13개) 광산 개발 동향,2012-09-10
일일동향,파푸아뉴기니 Simbai 금광개발 허가 협조 요청,2012-09-10
일일동향,"호주, ""20년까지 전체 에너지의 20%를 신재생에너지로 충당",2012-09-10
일일동향,"우간다 Hoima, Murchison Fall 등 유전지대 방문(우리기업 지원)",2012-09-10
일일동향,"파푸아뉴기니 정부, 석회석 채굴 및 석회 생산 프로젝트 개시",2012-09-10
일일동향,도쿄전력 가시와자키 가리 및 원자력발전소 6호기 가동 중지,2012-09-10
일일동향,러시아-일본 LNG 플랜트 건설 동향(경제적 타당성 평가),2012-09-10
일일동향,QP사-Shell사 합작 석유화학 프로젝트 사업설명회 개최,2012-09-10
일일동향,오만 LNG사 및 Qalhat LNG사간 합병 논의,2012-09-10
일일동향,가봉 벨링가 철광산 프로젝트 추진 지연 동향,2012-09-10
일일동향,동시베이라-태평양 연안 연결 송유관 2단계 건설사업  금년내 완료,2012-09-10
일일동향,"브라질, ""14년 17개 희귀광물 부존량 탐사결과 지도 발표",2012-09-10
일일동향,"베네수엘라, 70,000톤 알루미늄 생산 계획",2012-09-10
일일동향,Enbridge사. 미-멕시코 원유수송배관망 건설 계획,2012-09-10
일일동향,규슈전력 경영 악화,2012-09-10
일일동향,IEA 비상대응상설그룹 정기회의 개최 결과,2012-09-10
일일동향,"UAE 1,500MW급 S2 가스화력발전소 가동 시작",2012-09-10
일일동향,"우크라이나 정부, 500억불 규모 가스광구 개발사업 발주 계획",2012-09-10
일일동향,"불가리아, 벨레네 신규원전 건설 포기",2012-09-10
일일동향,아프리카 천연자원 컨퍼런스 개최,2012-09-10
일일동향,한-EU 태양에너지 협력포럼 개최,2012-09-10
일일동향,오만 태양광 발전 및 대규모 태양열 응집발전 시설 개발 적합,2012-09-10
일일동향,"미 에너지부, ""20년까지 하루당 700만배럴 생산 전망",2012-09-10
일일동향,파나마 노베-부글래 자치구 혼경보호 특별법 국회 최종 승인,2012-09-10
일일동향,한-이탈리아 신재생에너지 협력,2012-09-10
일일동향,러시아-남아공 원전 기술세미나 개최(남아공 신규 원전 건설 사업 참여방안),2012-09-10
일일동향,가즈프롬사 Kirinsky 광구 가스.콘덴세이트전 가스 생산 계획,2012-09-10
일일동향,카타르 라스라판 정유화학공장 확장 프로젝트 동향(우리기업 참여),2012-09-10
일일동향,"Active Solar사, 우크라이나 31.55MW급 태양광발전소 건립",2012-09-10
일일동향,"영국 British Petroleum 러시아법인, 사할린-5 프로젝트 투자 탈퇴 결정",2012-09-10
일일동향,몽골내 3개 대형 희토류 광산 개발 지연,2012-09-10
일일동향,쿠웨이트 Wafra 지역에  250억 배럴 Heavy Oil 유전 존재,2012-09-10
일일동향,캄보디아-태국간 중첩수역(OCA)석유탐사 협의(우리기업 지원),2012-09-10
일일동향,우크라이나 LNG 터미널 프로젝트 타당성조사결과 설명회 개최,2012-09-10
일일동향,호주-일본간 발전탄 공급 합의,2012-09-10
일일동향,케냐내 지열에너지 발전 잠재력,2012-09-10
일일동향,"오일쉐일, 오일샌드 등 새로운 형태 석유 최근 급증",2012-09-10
일일동향,쿠웨이트 비수반가스의 생산 극대화 추진,2012-09-10
일일동향,우크라이나-아제르바이잔 Caspian 횡단 가스관 건설 프로젝트 논의,2012-09-10
일일동향,Trans Mountain 가스관 프로젝트의 가스관 확장 계획 발표,2012-09-10
일일동향,AES-Sonel 전력 생산 및 송배전 시설 컨설턴트 선정 입찰 공고,2012-09-10
일일동향,함부르크 경제 대표단 방한(신재생에너지 협력),2012-09-10
일일동향,호주 광물자원지대세 입법화 완료,2012-09-10
일일동향,남수단 석유가스 투자설명회 개최,2012-09-10
일일동향,파나마 노베-부글레 자치구 광물자원개발금지 특별법 개정안 국회 채택,2012-09-10
일일동향,"독일 E.ON사, RWE사 영국 신규원전 건설사업 철수 발표",2012-09-10
일일동향,"리투아니아-일본간 1,400MW급 원전 건설 계약 체결",2012-09-10
일일동향,볼리비아 리튬 전문가 볼리비아 정부 비판(리튬정책),2012-09-10
일일동향,"Exxon Mobil, 쿠르드 유전 개발 계약 포기",2012-09-10
일일동향,"남아공 정부, ""30년까지 전력생산설비 증설 계획",2012-09-10
일일동향,코스타리카 신재생에너지 개발 계획,2012-09-10
일일동향,중국 요녕성 최대 1.2억톤 철광석 발견(지난 9년간),2012-09-10
일일동향,르완다 광물 자원 개발 계획,2012-09-10
일일동향,"트리니다드토바고, Trinmar 구역 4,800만 배럴 추정 유전 발견",2012-09-10
일일동향,중국 희토산업협회 설립,2012-09-10
일일동향,카타르-인도 LNG 추가장기판매계약 및 원유 추가수출방안 협의,2012-09-10
일일동향,독일 신재생에너지(육상 및 해상 풍력 등) 개발 동향,2012-09-10
일일동향,"일본, 브루나이 PMB섬 석유화학산업단지 화학공장 설립 결정",2012-09-10
일일동향,미 에너지정보청(EIA) 북미지역 천연가스 가격 최젗 달성,2012-09-10
일일동향,인도 쿠단쿨람 원전 동향,2012-09-10
일일동향,"터키 원전사업 개시(""30년까지 총 전력의 10% 원전 통해 생산)",2012-09-10
일일동향,한-함부르크 해상풍력 협력,2012-09-10
일일동향,극동지역 가스화학 플랜트 건설 프로젝트 협력 MOU 체결,2012-09-10
일일동향,카나리아주 Lanzarote 및 Fuerteventura 섬 유전 탐사 동향,2012-09-10
일일동향,한-모로코 석유 및 광물자원 협력(우리기업 참여),2012-09-10
일일동향,프랑스 해상풍력 발전설비 1차 공개입찰 결과 발표,2012-09-10
일일동향,독일 재생에너지 비중 12.2% 기록,2012-09-10
일일동향,호주 제철탄 수출량 큰 폭 하락,2012-09-10
일일동향,"일본 정부, 오오이 원전 3,4호기 재가동 안정성 판단 기준 마련",2012-09-10
일일동향,"중국철강공업협회, 조강(粗鋼) 생산량 크게 증가",2012-09-10
일일동향,"이탈리아, 재생에너지 발전에 따른 인센티브 증가 규모 축소 발표",2012-09-10
일일동향,몽골 Booroljuutiin Tal 광산 개발 동향,2012-09-10
일일동향,아르헨티나 YPF사 국유화 동향,2012-09-10
일일동향,"프랑스 Areva사, 남아공 Eskom사 면담(원전 협력)",2012-09-10
일일동향,오만 수르길 가스 발전소 건설 설명회 개최,2012-09-10
일일동향,美 연방에너지규제위원회(FERC) 수출용터미널 건설 허가,2012-09-24
일일동향,오만 Khazzan/Makarem 가스전 천연가스 매장량 100조 입방미터,2012-09-24
일일동향,오만 두큼정유공장 2017년 완공 예정,2012-09-24
일일동향,방글라데시 신재생에너지 개발 계획(전체 전력중 5%까지 확대),2012-09-24
일일동향,러시아 야말 LNG 프로젝트 동향,2012-09-24
일일동향,"헝가리 총리, Nabucco 가스관 사업 탈퇴 의사 표명",2012-09-24
일일동향,오만 국영석유개발공사(PDO) 석유?가스 증산 프로젝트 투자 계획(5년간 40억불 투자),2012-09-24
일일동향,케냐 몸바사항 LNG 터미널 건설 프로젝트 입찰 동향,2012-09-24
일일동향,가봉 신석유법 제정안 7월경 국회 처리 예정,2012-09-24
일일동향,미국 태양광시장 동향(성장 장재력 여전히 커),2012-09-24
일일동향,트리니다드토바고 300km 천연가스 송유관 건설 입찰,2012-09-24
일일동향,로스네프트-엑손社 가스 프로젝트(광구 탐사계획 및 지원책) 설명회 개최,2012-09-24
일일동향,뭄바이 태양에너지 발전 계획(2020년까지 22GW의 전력을 태양광으로 생산),2012-09-24
일일동향,노르웨이 아태지역 해저 케이블 건설 계획,2012-09-24
일일동향,한-캐나다 에너지포럼 개최,2012-09-24
일일동향,스페인 풍력발전산업 동향,2012-09-24
일일동향,"독일, 2020년 연료의 20% 바이오 연료로 대체 결정",2012-09-24
일일동향,튀니지 아프리카 에너지 전시회 개최 예정,2012-09-24
일일동향,아프헨티나 정부 YPF사 국유화 조치 동향,2012-09-24
일일동향,볼리비아 가스 수출 프로젝트 동향(한국기업 참여 요청),2012-09-24
일일동향,오만 소하르 정유공장 확장공사 입찰 동향,2012-09-24
일일동향,"스페인 SP Mining社, 챠드 국토 전역 광물 탐사권 획득",2012-09-24
일일동향,나이지리아 Water 컨퍼런스 개최,2012-09-24
일일동향,덴마크 풍력산업 발전 계획,2012-09-24
일일동향,"영국계 Emed Mining사, Rio Tinto 구리광산 매입",2012-09-24
일일동향,뭄바이 태양광 발전단지 계획(150MW),2012-09-24
일일동향,인디오 자치구 노베-부글레 지역 광물자원개발금지 특별법 국회 통과,2012-09-24
일일동향,예멘 재생에너지 개발 계획,2012-09-24
일일동향,튀니지 Bizerte 풍력발전소 가동 착수,2012-09-24
일일동향,앙골라 국제석유가스 컨퍼런스 개최,2012-09-24
일일동향,몽골 광물자원 수출 동향,2012-09-24
일일동향,터키-카타르 LNG 수입 관련 협상 동향,2012-09-24
일일동향,인도-카타르 LNG 수입 논의,2012-09-24
일일동향,불가리아 태양광 및 풍력 비즈니스 포럼 개최 계획,2012-09-24
일일동향,파푸아뉴기니-중국간 구리 판매 계약 체결,2012-09-24
일일동향,크로아티아 재생에너지 FIT 요율 최대 30% 감축,2012-09-25
일일동향,"이란 NIOC, 페르시아만 해상유전인 포르잔 유전 개발 프로젝트 착수",2012-09-25
일일동향,스페인계 송전회사 TDE 국유화 조치,2012-09-25
일일동향,토론토 중소기업 원전로드쇼 개최,2012-09-25
일일동향,"우간다 Hoima 정유공장(2,900 헥타르 규모) 건설 계획",2012-09-25
일일동향,아르헨티나 YPF 국유화 법안 공포,2012-09-25
일일동향,차드-카메룬 파이프라인 사용료 인상안 논의,2012-09-25
일일동향,레바논 부유식 LNG 저장 및 재기화 플랜트 프로젝트 동향(사업참여 의향서 접수),2012-09-25
일일동향,오만 Saih Rawl 가스전 가압 플랜트 건설 프로젝트 완공,2012-09-25
일일동향,미 휴스턴 Offshore Techonology 컨퍼런스 개최 결과,2012-09-25
일일동향,제4차 베트남 에너지 개발 국제 박람회(VE Expo) 개최,2012-09-25
일일동향,오만 65광구 입찰 동향,2012-09-25
일일동향,사하라사막 태양에너지 생산 및 유럽 송전 프로젝트 추진 동향,2012-09-25
일일동향,코스타리카 신재생에너지 개발 계획(2021년까지 탄소중립국 달성 목표),2012-09-25
일일동향,"미국, 프랑스, IEA에 비축유방출 검토 요청",2012-09-25
일일동향,말레이시아 아시아지역 오일허브 개발 추진 동향,2012-09-25
일일동향,한-브라질 괄물자원 협력(한국기업 참여),2012-09-25
일일동향,요르단 오일셰일 개발 계획,2012-09-25
일일동향,파푸아뉴기니 Western주 LNG 개발 큰 주목,2012-09-26
일일동향,"우크라이나 도네츠크, 카리코브 지역 셰일가스 탐사 동향",2012-09-26
일일동향,중국 섬서성 섬북에너지화공기지 광산개발 생산 동향,2012-09-26
일일동향,"이집트 1,370MW급 풍력발전 프로젝트 입찰 동향",2012-09-26
일일동향,"파푸아뉴기니 Highlands, Gulf주 LNG 프로젝트 동향",2012-09-26
일일동향,"미 하원, 분쟁광물 후속 입법 관련 청문회 개최",2012-09-26
일일동향,밴쿠버 사스카체완 주  유전개발 동향,2012-09-26
일일동향,헝가리 Nabucco 가스관 프로젝트 자사 지분 매각,2012-09-25
일일동향,"앙골라, LNG 수출 계획",2012-09-25
일일동향,트리니다드토바고 6개 심해 광구 탐사 입찰 공고,2012-09-25
일일동향,아제르바이잔-불가리아 석유가스 협력 MOU 체결,2012-09-25
일일동향,"아부다비-인도간 원유 수출용 송유관 건설 완공, 현재 시험 단계",2012-09-26
일일동향,"가나 부통령, 중국 차관 사용해 가나 인프라 부족 해결",2012-09-26
일일동향,IEA 석유시장 보고서(12.5) 발표,2012-09-26
일일동향,몽골 전략기업 외국인투자 조정에 관한 법안 1차 심의,2012-09-26
일일동향,"체코, 재생에너지 발전사업 정부보조금 지급 중단 법안 제출 예정",2012-09-25
일일동향,독일 하노바 산업박람회 2012 개최,2012-09-25
일일동향,요르단 상용원전사업 시행업체 선정 관련 논의,2012-09-25
일일동향,Hela 수력발전소 건설 사전 타당성 조사 발표,2012-09-25
일일동향,오만 6광구 세일가스 탐사 및 시추 결과,2012-09-25
일일동향,"인도네시아 정부, 14개 품목 광물 수출세 부과(20%)",2012-09-25
일일동향,한-이탈리아 재생에너지 협력,2012-09-25
일일동향,캐나다-중국간 구리 판매 계약 체결,2012-09-25
일일동향,"Total사, 콩고 Albertine Graben 유전 탐사 허가 취득",2012-09-25
일일동향,볼리비아 TDE 국유화 조치 동향,2012-09-25
일일동향,"중국 석탄(타반톨고이, 코크스탄 등) 구입 계획",2012-09-25
일일동향,제1회 독일 과학기술정보교류 워크숍 개최(원전분야 논의),2012-09-25
일일동향,한-오만 신재생에너지 협력,2012-09-25
일일동향,가봉 상투메 프린시페 EEZ 5구역 생산분배계약 체결,2012-09-25
일일동향,체코 Temelin 원전 건설 운영 파트너 선정 계획,2012-09-26
일일동향,"오만 PEIE, Sumail 태양발전 시범 프로제트 추진 계획 발표",2012-09-26
일일동향,남아공 상업용 원전건설 개시 시기 불명확,2012-09-25
일일동향,사할린-하바롭스크-블라디보스톡 가스관 운영 개시,2012-09-25
일일동향,‘Mining Mongolia 2012’ 전시회 개최,2012-09-25
일일동향,"Kibalo Mining사, 콩고 수력발전소 건설 투자 계획",2012-09-25
일일동향,"예멘, 인도와 하드라마우트주 Wadi Sar 소재 80 광구 생산분배계약 체결",2012-09-25
일일동향,베트남 풍력발전소 건설 사업 준공식 개최,2012-09-25
일일동향,나이지리아 수력발전 확충 계획,2012-09-26
일일동향,카메룬 가스법 개정(12.4),2012-09-26
일일동향,앨버타주 천연자원(오일샌드 포함) 개발 동향,2012-09-26
일일동향,체코 Temelin 원전 최종 사업자 선정 발표,2012-09-26
일일동향,하바롭스크 주정부 가스화학산업 육성 회의 개최,2012-09-26
일일동향,가즈프롬社의 CNG 충전소 건설 계획,2012-09-26
일일동향,오만의 석유 수출 동향,2012-09-26
일일동향,아르헨티나 정부의 광업회사에 대한 국내 조달 확대 의무 강화 조치,2012-09-26
일일동향,독일 함부르크 국제풍력전문박람회 개최,2012-09-26
일일동향,요르단과 Enefit社간 오일셰일 발전소 건설 계약 체결,2012-09-26
일일동향,뉴질랜드 Taranaki 지역 석탄층 가스 매장량 조사,2012-09-26
일일동향,인도-투르크메니스탄 TAPI 가스파이프라인 동향,2012-09-26
일일동향,카자흐스탄 쿠릭항 개발 동향,2012-09-26
일일동향,2012 YPB 석유가스 국제회의 개최,2012-09-26
일일동향,몽골 타반톨고이사 석탄 수출 계획(12~15백만톤),2012-09-26
일일동향,호주 정부의 기업이주협정 승인 발표,2012-09-26
일일동향,Gas Co.社의 하와이 호놀룰루 천연가스 발전소 건설 계획,2012-09-26
일일동향,밴쿠버 BC주 셰일가스 개발 동향,2012-09-26
일일동향,블라디보스톡 석유가스화학산업 육성 계획,2012-09-26
일일동향,"시안 정부, 신소재산업분야 공업 생산액 200억위안 달성 목표",2012-09-26
일일동향,모로코 태양에너지 박람회 개최,2012-09-26
일일동향,독일의 전력망 구축 촉진 계획,2012-09-26
일일동향,요르단 의회의 원전사업 및 우라늄 채굴사업 중단 결의,2012-09-26
일일동향,몽골 Ovoot 소재 노천광산 원료탄 개발 동향,2012-09-26
일일동향,카타르와 오만의 LNG 수출물량 축소 전망,2012-09-26
일일동향,몽골 Tuv 아이막 풍력발전소 건설 계획 발표(2013년 추진),2012-09-26
일일동향,한-중-일 캐나다 천연가스 수출 프로젝트 공동 참여,2012-09-26
일일동향,나이지리아 100~200MW급 중소형 수력발전소 건설 계획,2012-09-26
일일동향,"""Asia Pacific Clean Energy Summit and Expo"" 개최",2012-09-26
일일동향,쉬토크만 가스전 프로젝트 컨소시엄 최종투자 결정 연기,2012-09-26
일일동향,엑손 모빌의 가스정제설비 건설 계획,2012-09-26
일일동향,엑손 네프트가즈社의 Chaivo광구 및 Odoptu광구 석유생산량 증대 계획,2012-09-26
일일동향,상투메 프린시페 배타적 경제구역 생산분배계약 협상 진행중,2012-09-26
일일동향,가봉 경제개발 5개년 계획 추진,2012-09-26
