분 류,광물,무역수지(2012 / 천달러),무역수지(2013 / 천달러),무역수지(2014 / 천달러)
E0504,기타 내마모 부품,0,0,0
E06,친환경 세라믹 부품,2517,2849,2852
E0601,필터,1728,2516,2246
E0602,촉매담체,789,333,606
E0603,기타,0,0,0
E07,열적 세라믹 부품,5407,6604,7092
E0701,내열세라믹 부품,0,0,0
E0702,발열용 부품,5092,6345,6827
E0703,금속제조용 부품,315,258,266
E08,방탄 세라믹 부품,0,0,0
E0801,방탄용 부품,0,0,0
E0802,기타,0,0,0
