연번,업소명,소재지,전화번호,업종
91, ㈜삼표 서부공장,고양시 덕양구 흥도로 113 (도내동),031-978-8705,비금속 광물제품 제조업(레미콘)
92,우일프린테크,"고양시 일산동구 장대길 42-143, 2층 (장항동)",031-902-1190,기타 인쇄업
93,식사주유소,고양시 일산동구 고양대로 1137 (식사동),031-966-3166,차량용 주유소 운영업
94,(주)대신금속,고양시 일산동구 지영로194번길 40-15,031-977-2557,재생용 가공원료 생산업
95,유진기업㈜서서울,고양시 덕양구 통일로493번길 35 (대자동),031-966-9111,비금속 광물제품 제조업(레미콘)
96,그린엔텍콤㈜,고양시 일산동구 은마길63번길 25-16 (설문동),031-977-6030,폐기물처리업
97,㈜장원씨앤에스,고양시 덕양구 통일로1031번길 412 (내유동),031-962-3850,폐기물처리업
98,미성문화사,고양시 일산동구 장항로 203-127 (장항동),031-907-0291,기타 인쇄업
99,㈜오토킹,고양시 덕양구 충장로 208 (화정동),031-978-0088,자동차종합수리업
100,㈜이룸프레스,고양시 일산동구 장대길 64-63 (장항동),031-902-5944,기타 인쇄업
101,희남문화사,고양시 일산동구 장대길 66 (장항동),031-908-9976,기타 인쇄업
102,평화자동차정비센타,고양시 일산서구 덕이로 261 (덕이동),031-917-7280,자동차세차업
103,㈜선진운수,고양시 일산서구 덕산로 174 (가좌동),031-923-8921,시내버스 운송업
104,동국대학교의료원(일산),고양시 일산동구 동국로 27 (식사동),031-961-9384,병원(종합 병원)
105,꽃마을주유소,고양시 덕양구 고양대로 1242 (주교동),,차량용 주유소 운영업
106,에이치디현대오일뱅크㈜직영 백석동셀프주유소,고양시 일산동구 일산로 144 (백석동),031-905-5189,차량용 주유소 운영업
107,출장 세차,고양시 일산동구 견달산로 250 (식사동),,자동차종합수리업
108,제형문화사,"고양시 일산동구 장항로 203-140, 나동 (장항동)",031-908-4541,기타 인쇄업
109,개나리주유소,고양시 덕양구 보광로 126 (벽제동),,차량용 주유소 운영업
110,대해문화사,고양시 일산동구 장대길 128-28 (장항동),031-906-0345,기타 인쇄업
111,㈜신화프리팅코아퍼레이션,고양시 일산동구 장대길 86-76 (장항동),031-905-2727,기타 인쇄업
112,아주산업㈜ 상암공장,고양시 덕양구 흥도로 111 (도내동),031-971-5111,비금속 광물제품 제조업(레미콘)
113,뉴스카이세차장,고양시 일산서구 고봉로 351 (일산동),031-977-7710,자동차세차업
114,㈜재원프린팅,고양시 일산동구 장대길 42-48,031-905-0762,기타 인쇄업
115,㈜씨엠중앙문화,"고양시 일산동구 장대길 42-76 (장항동), 다,라동",031-902-3171,기타 인쇄업
116,그린필드충전소,고양시 덕양구 호국로 1945 (벽제동),031-969-9604,차량용가스충전업
117,한양세차장,고양시 덕양구 지도로124번길 1 (토당동),031-965-8257,자동차세차업
118,경애손세차장,고양시 일산서구 덕이로 272 (덕이동),031-913-4907,자동차세차업
119,㈜삼정비스콤,고양시 일산동구 사리현로 167-16 (사리현동),02-3364-0330,"펄프, 종이 및 종이제품 제조업(전사용지)"
120,㈜일산자동차운전학원,고양시 일산동구 성현로268번길 93 (성석동),031-975-1533,기타(운전학원)
121,프린팅파크,고양시 일산동구 장항로 291(장항동),031-901-6456,기타 인쇄업
122,수도권철도차량정비단,경기도 고양시 덕양구 행주로 108-1 (강매동),031-810-8358,도시철도운송업
123,우암주유소,고양시 덕양구 보광로 198 (벽제동),031-963-2334,차량용 주유소 운영업
124,일등세차장,고양시 일산서구 고양대로 605 (일산동),,자동차세차업
125,국민에너지㈜ 고봉산카크린,고양시 일산동구 고봉로 464 (성석동),031-977-5189,차량용 주유소 운영업
126,㈜처가식품,고양시 일산동구 공릉천로175번길 157 (사리현동),031-963-1636,"음,식료품 제조업"
127,원당오렌지충전소,고양시 덕양구 호국로 996 (원당동),031-967-0559,차량용가스충전업
128,믿음충전소,고양시 덕양구 호국로 1631 (대자동),031-969-8227,차량용가스충전업
129,㈜삼전,고양시 덕양구 호국로 1634 (벽제동),031-969-8558,차량용가스충전업
130,썬LPG충전소,고양시 덕양구 중앙로 279 (화전동),02-3159-8118,차량용가스충전업
131,화전LPG주유소,고양시 덕양구 중앙로 246 (화전동),02-3158-0083,차량용가스충전업
132,원당LPG충전소,고양시 덕양구 호국로 989 (원당동),031-968-0343,차량용가스충전업
133,믿음맥과이어,고양시 일산서구 고봉로 355 (일산동),031-924-5054,자동차종합수리업
134,㈜와이이에스,고양시 덕양구 자유로 489 (행주외동),031-938-1292,차량용가스충전업
135,㈜서강이엔,고양시 덕양구 자유로 88 (덕은동),02-3159-7119,차량용가스충전업
136,복지용두충전소,고양시 덕양구 서오릉로 569 (용두동),02-358-8440,차량용가스충전업
137,신화출력,고양시 일산동구 장대길 74-24 나동 2층,031-902-7356,기타 인쇄업
138,(주)세영 TMS 통일로 일품주유소,고양시 덕양구 통일로 862 (관산동),031-962-8055,차량용 주유소 운영업
139,광명사,고양시 일산동구 장대길 145-16 (장항동),031-907-0704,기타 인쇄업
140,SK섬마을주유소,고양시 덕양구 호수로 237 (내곡동),,차량용 주유소 운영업
141,삼광프린팅,고양시 덕양구 중앙로46번길 19 (덕은동),02-3158-4415,기타 인쇄업
142,㈜명성,고양시 일산동구 고봉로 652 (성석동),031-977-1080,시내버스 운송업
143,KH에너지㈜직영 가나주유소,고양시 덕양구 호국로 1941 (벽제동),,차량용 주유소 운영업
144,아주카자동차공업사,고양시 일산서구 덕이로292번길 22 (덕이동),031-917-1861,자동차종합수리업
145,삼호주유소,고양시 덕양구 흥도로 404 (성사동),031-966-5599,차량용 주유소 운영업
146,㈜동화인쇄공사,"고양시 덕양구 대터2로 16 (덕은동), 가동",02-3158-3521,기타 인쇄업
147,두호통상,고양시 일산동구 성현로135번길 99-17 (성석동),031-977-3463,"음,식료품 제조업(조미료 및 식품 첨가물)"
148,우리주유소,고양시 일산동구 성현로 487 (사리현동),031-964-5101,차량용 주유소 운영업
149,㈜태광마텍스,고양시 일산동구 공릉천로 209-59 (사리현동),031-963-5001,섬유제품 제조업
150,미래인쇄,고양시 일산서구 덕산로 244번길 59-10 가동,031-932-6997,기타 인쇄업
151,미광모터스,고양시 일산서구 송산로 524 (덕이동),031-918-4606,자동차세차업
152,수미세차장,고양시 일산서구 고양대로675번길 8 (일산동),031-975-4648,자동차세차업
153,식사동(삼일)주유소,고양시 일산동구 견달산로 252 (식사동),031-967-3143,차량용 주유소 운영업
154,소래영농조합법인,고양시 덕양구 혜음로 254-6 (벽제동),031-964-2147,식품(기타 육류 가공 및 저장처리업)
155,신도인쇄사,고양시 일산동구 장항로225번길 216 (장항동),031-908-8223,기타 인쇄업
156,ICEPIA,고양시 일산서구 멱절길86번길 61-19 (대화동),031-919-3311,자동차종합수리업
157,대화미래로셀프세차장,고양시 일산서구 대화로 74 (대화동),031-911-0884,자동차세차업
158,넥스프레스,고양시 일산동구 장대길 85 (장항동),031-908-7958,기타 인쇄업
159,㈜ 한진산업,고양시 덕양구 중앙로 313 (도내동),031-979-0461,폐기물처리업
160,서울석유㈜ 명성주유소,고양시 덕양구 호국로 1628 (벽제동),031-962-9352,차량용 주유소 운영업
161,㈜키움프린팅,고양시 일산동구 장항로 203-133 (장항동),031-902-0510,기타 인쇄업
162,씨앤에스에너지(주)구도일주유소 성석,고양시 일산동구 고봉로 618 (성석동),031-977-5147,차량용 주유소 운영업
163,제이(J)에너지,고양시 일산서구 경의로 945 (덕이동),031-914-9059,차량용 주유소 운영업
164,벧엘사,고양시 일산동구 장대길 92 (장항동),031-908-0480,기타 인쇄업
165,대한글라스텍,고양시 일산동구 문봉길 6-64 (문봉동),031-977-3464,판유리 가공품 제조업
166,(주)이음피앤피,고양시 일산서구 이산포길 288 (법곳동),031-923-1921,기타 인쇄업
167,위캔센터,고양시 덕양구 혜음로 276 (벽제동),031-969-3535,"음,식료품 제조업(과자)"
168,원흥제2주유소,고양시 일산동구 성현로 533 (사리현동),,차량용 주유소 운영업
169,"엘앤케이에너지㈜ 원흥,원흥동지점",고양시 덕양구 서오릉로 712 (원흥동),031-963-5189,차량용 주유소 운영업
170,신우에너지㈜ 풍동충전소,고양시 일산동구 고양대로 1026 (식사동),031-966-0384,차량용가스충전업
171,㈜코비인터네셔널,고양시 일산동구 은마길151번길 16 (설문동),031-977-5070,단추 및 유사 파스너 제조업
172,명품손세차장,고양시 일산서구 일청로 52 (일산동),031-975-7444,자동차세차업
173,맘모스모터스,고양시 일산서구 덕이로 72 (덕이동),031-915-5582,자동차세차업
174,대화현대손세차장,고양시 일산서구 대화로 33 (법곳동),031-911-3737,자동차세차업
175,백송손세차장,고양시 일산서구 덕이로 212 (덕이동),031-912-3833,자동차세차업
176,현재문화,"고양시 일산동구 장대길 106-26 (장항동), 다동",031-904-8999,기타 인쇄업
177,㈜케이원플러스,고양시 일산서구 송산로 406 (가좌동),031-855-5556,차량용 주유소 운영업
178,티스테이션 행신점,고양시 덕양구 화신로 150 (행신동),031-970-5000,자동차종합수리업
179,대륙,"고양시 덕양구 고골길116번길 14-45 (관산동), 가동",031-964-9159,산업용 세탁업
180,㈜대경유업 안곡주유소,고양시 일산동구 고양대로 831 (중산동),031-977-0002,차량용 주유소 운영업
181,대박손세차,고양시 덕양구 마상로140번길 27 (주교동),,자동차세차업
182,원당세차장,고양시 덕양구 호국로777번길 6 (주교동),031-968-9534,자동차세차업
183,덕양제2주유소,고양시 일산서구 경의로 940 (덕이동),,차량용 주유소 운영업
184,"맥과이어광택, 세차",고양시 일산서구 일중로15번길 7 (일산동),031-977-4848,자동차세차업
185,새한금박인쇄,고양시 덕양구 통일로1170번길 135-35 (내유동),031-962-6739,기타 인쇄업
186,영진인쇄,고양시 덕양구 통일로 1170번길 135-41 (내유동),031-964-6772,기타 인쇄업
187,신일산교통,고양시 일산동구 고봉로678번길 47 (설문동),031-977-6145,시내버스 운송업
188,㈜대덕운수,고양시 일산동구 사리현로 12 (식사동),031-965-8401,시내버스 운송업
189,㈜오이시여행사,고양시 일산동구 견달산로225번길 93 (식사동),031-966-8855,시내버스 운송업
190,더불어가스충전소,고양시 일산동구 고봉로 672 (성석동),,차량용가스충전업
191,세경씨엔피,고양시 일산동구 문봉길 6-38 (문봉동),02-384-8352,기타 인쇄업
192,덕이셀프주유소,고양시 일산서구 덕이로 94(덕이동),031-923-6000,차량용 주유소 운영업
193,유일동판,고양시 일산동구 노첨길24번길 39(장항동),031-908-4877,기타 인쇄업
194,일급세차장,고양시 일산서구 경의로 828 (덕이동),031-919-8082,자동차세차업
195,㈜르노삼성일산정비사업소,고양시 일산서구 법곳길115번길 82-25 (법곳동),031-901-3855,자동차종합수리업
196,㈜디오티디 고양용가리주유소,고양시 일산동구 백마로 590 (식사동),070-4193-5151,차량용 주유소 운영업
197,문성원색,고양시 일산동구 장대길 128-27 (장항동),031-901-7021,기타 인쇄업
198,㈜뷰애드,"고양시 일산동구 견달산로210번길 47-9 (식사동), 가동",031-965-1185 ,화장품 제조업
199,㈜디오티디 고양야옹이주유소,고양시 일산서구 덕이로 188 (덕이동),,차량용 주유소 운영업
200,덕양제4주유소,고양시 일산동구 고봉로 847 (설문동),031-975-5188,차량용 주유소 운영업
201,월드세차장,고양시 덕양구 동헌로 468 (고양동),,자동차세차업
202,엠에스프린팅,"고양시 일산동구 장대길 42-76 (장항동), 마동",031-906-4111,기타인쇄업
203,구도일주유소 송포,고양시 일산서구 송산로 494 (덕이동),031-916-5189,차량용 주유소 운영업
204,본세차장,고양시 일산서구 송산로 490 (덕이동),,자동차세차업
205,항공대주유소,고양시 덕양구 중앙로 171 (화전동),02-3158-0900,차량용 주유소 운영업
206,㈜신흥에너비스,고양시 일산서구 덕이로 299 (덕이동),031-911-2474,차량용 주유소 운영업
207,에이치디현대오일뱅크㈜직영 덕이현대셀프주유소,고양시 일산서구 송산로 591 (덕이동),031-914-8363,차량용 주유소 운영업
208,금강유리제경,고양시 일산동구 장대길105번길 166 (장항동),031-906-6204,판유리 가공품 제조업
209,주식회사 세차하는날,고양시 일산동구 성현로 78 (성석동),,차량용 주유소 운영업
210,신흥피앤피㈜,고양시 일산서구 구산로 120 (구산동),031-905-6127,차량용 주유소 운영업
211,㈜엘아이지휴세코 일산지점,고양시 일산서구 경의로 910 (덕이동),031-925-5199,차량용가스충전업
212,목장주유소,고양시 덕양구 호국로 932 (성사동),031-967-8805,차량용 주유소 운영업
213,㈜보성중산주유소,고양시 일산동구 고양대로 834(중산동),031-911-5126,차량용 주유소 운영업
214,동원2주유소,고양시 덕양구 통일로 1180 (내유동),031-969-5148,차량용 주유소 운영업
215,일광에너비스 행주내동점,고양시 덕양구 행주로 104 (행주내동),,차량용 주유소 운영업
216,서울여객주식회사,고양시 덕양구 보광로 192-16 (벽제동),031-964-9283,시외버스 운송업
217,하늘주유소,고양시 덕양구 통일로 1096 (내유동),031-969-7587,차량용 주유소 운영업
218,㈜보명씨앤아이,"고양시 일산동구 장대길 42-113 (장항동), 다동",02-2274-4545,기타 인쇄업
219,㈜연수에너지 중앙로주유소,고양시 덕양구 중앙로 113 (화전동),02-3158-2228,차량용 주유소 운영업
220,(주)지에스이앤알 효자로주유소,고양시 덕양구 일영로 127 (지축동),02-371-2025,차량용 주유소 운영업
221,뉴타운충전소,고양시 덕양구 북한산로 633 (지축동),02-384-1216,차량용가스충전업
222,대화교통,고양시 일산서구 대화로37번길 136 (법곳동),031-911-2611,시내버스 운송업
223,신우에너지㈜ 신일산충전소,고양시 일산서구 경의로 789 (대화동),031-914-1355,차량용가스충전업
224,삼미상사㈜ 일산제일충전소,고양시 일산동구 고봉로 479 (성석동),,차량용가스충전업
225,(주)예원프린팅,고양시 일산동구 장대길 42-103 (장항동),031-902-6550,기타 인쇄업
226,SK에너지㈜ 백마주유소,고양시 일산동구 중앙로 990 (백석동),031-901-5150,차량용 주유소 운영업
227,㈜조은피앤피,고양시 일산동구 장대길 99-13,031-906-9631,기타 인쇄업
228,행신주유소,고양시 덕양구 중앙로 394 (행신동),031-973-2200,차량용 주유소 운영업
229,스타골프연습장,고양시 일산동구 애니골길43번길 73 (풍동),031-903-6333,골프연습장 운영업
230,서울석유(주) 풍산주유소,고양시 일산동구 중산로 55 (중산동),031-975-5161,차량용 주유소 운영업
231,㈜케이엘페트로고양덕이동지점,고양시 일산서구 덕이로 300 (덕이동),031-925-5149,차량용가스충전업
232,영카세차장,"고양시 덕양구 무원로 2 (행신동), 센스빌1차 108,109호",,자동차세차업
233,㈜자연에너지 산유주유소,고양시 덕양구 중앙로 107 (화전동),02-2266-1448,차량용 주유소 운영업
234,처음주유소,고양시 덕양구 중앙로 209 (화전동),02-305-3800,차량용 주유소 운영업
235,제이원네트윅스㈜,고양시 일산동구 무궁화로 362 (식사동),031-967-2858,차량용가스충전업
236,탄현기린주유소,고양시 일산서구 탄중로 263 (탄현동),031-911-5181,차량용 주유소 운영업
237,삼송뉴시티주유소,고양시 덕양구 고양대로 1960 (동산동),02-359-5145,차량용 주유소 운영업
238,㈜삼표에너지 동해주유소,고양시 덕양구 중앙로 110 (화전동),031-913-6083,차량용 주유소 운영업
239,신우에너지㈜,고양시 일산동구 고봉로 470 (성석동),031-962-1390,차량용가스충전업
240,KH에너지㈜직영 애니골주유소,고양시 일산동구 무궁화로 307 (풍동),031-901-5104,차량용 주유소 운영업
241,덕양제7주유소,고양시 일산동구 무궁화로 250 (풍동),031-905-5194,차량용 주유소 운영업
242,오토리,고양시 일산동구 약산길 56 (중산동),,자동차세차업
243,두리터,"고양시 일산동구 장대길 160-90 (장항동), 가동",031-932-6828,기타 인쇄업
244,비전에너지㈜코리아,고양시 일산동구 고봉로 788 (설문동),02-3661-5800,차량용 주유소 운영업
245,NH농협주유소,고양시 일산서구 대화로 362 (대화동),031-910-9100,차량용 주유소 운영업
246,일산 WASHZONE 덕이점,고양시 일산서구 덕이로 6 (덕이동),,자동차세차업
247,㈜성원제약,고양시 일산동구 공릉천로473번길 78-33 (설문동),031-949-4327,계면활성제·치약·비누 및 기타 ABS 제조시설
248,모또용품점,"고양시 일산서구 경의로 886 (덕이동), 정비동 2층",,자동차세차업
249,㈜명주로데오주유소,고양시 일산서구 덕이로 78-12,031-914-0635,차량용 주유소 운영업
250,이산포충전소,고양시 일산서구 법곳길 127 (법곳동),031-923-8100,차량용가스충전업
251,대화동 버스 공영차고지,고양시 일산서구 대수길 105 (대화동),031-929-4858,시내버스 운송업
252,다올모터스,고양시 일산서구 송산로 523 (덕이동),031-914-7782,자동차종합수리업
253,한국지역난방공사 고양지사장,고양시 일산서구 고양대로 228-20,031-900-2641,지역난방공사
254,모토자인,고양시 일산서구 송포백송길 102 (덕이동),,자동차세차업
255,㈜마이모터,고양시 일산동구 고봉로 739 (설문동),031-904-6112,자동차종합수리업
256,㈜베스트토요타 일산서비스,고양시 일산동구 동국로 112 (식사동),031-969-7701,자동차종합수리업
257,통일로내유가스충전소,고양시 덕양구 통일로 1190 (내유동),031-968-1213,차량용가스충전업
258,텔미자동차정비,고양시 일산동구 견달산로 333 (문봉동),,자동차종합수리업
259,효명개발㈜,고양시 일산동구 공릉천로 294 (지영동),,비금속 광물 분쇄물 생산업
260,㈜원흥 풍동지점,고양시 일산동구 무궁화로 299 (풍동),031-908-5189,차량용 주유소 운영업
261,케이에이치에너지㈜직영 애니골2주유소,고양시 일산동구 무궁화로 304 (풍동),031-902-5157,차량용 주유소 운영업
262,주현카용품,고양시 덕양구 호국로 1515 (대자동),031-963-5536,자동차세차업
263,용석개발(주)문봉충전소,고양시 일산동구 성현로 368 (문봉동),031-977-8811,차량용가스충전업
264,㈜금호통상,고양시 일산동구 고봉로702번길 125-25 (성석동),031-977-6655,"음,식료품 제조업"
265,선명손세차장,고양시 일산서구 덕이로 286 (덕이동),031-924-0460,자동차세차업
266,탑블링손세차,고양시 일산동구 백마로 517 (풍동),,자동차세차업
267,동국대학교 바이오메디캠퍼스,고양시 일산동구 동국로 32 (식사동),031-961-9328,대학교
268,제1자유로주유소,고양시 덕양구 자유로 94 (덕은동),031-967-4584,차량용 주유소 운영업
269,㈜대원고속,고양시 일산동구 성석로 285-39 (성석동),02-2201-7763,시외버스 운송업
270,백신주유소,고양시 일산동구 장항로 79 (백석동),031-938-7777,차량용 주유소 운영업
271,㈜바바리안모터스,고양시 일산동구 무궁화로 383 (식사동),,자동차종합수리업
272,상원화학,고양시 일산동구 공릉천로175번길 93-107 (사리현동),031-969-3643,단추 및 유사 파스너 제조업
273,카멘자동차샵,고양시 일산동구 고양대로 1058 (식사동),,자동차세차업
274,행촌에너지 SK화정주유소,고양시 덕양구 호국로 430 (토당동),031-978-8592,차량용 주유소 운영업
275,한국터미널운영 유한회사,"고양시 일산동구 중앙로 1036 (백석동), 2층",031-936-7738,여객 자동차 터미널 운영업
276,킹 카,고양시 일산동구 성현로 201 (성석동),031-977-0425,자동차세차업
